exports,log_exports,Year,MSA,Per_Capita_Income,Population,Manufacturing_Employment,Top_Corporate_Income_Tax_Rate,FHFA_index,avg_weather,energy_consumption,Minimum_Wage,S&P500_Close
306642134.0,19.541191938313165,2023,"Gainesville, FL",54166.0,352126.0,5.5,0.055,380.235,71.0,4029.0,12.0,4845.65
89102296.0,18.30529566090813,2023,"Gettysburg, PA",58880.0,106748.0,7.2,0.0899,284.065,54.8,5379.0,7.25,4845.65
252046732.0,19.345125072727445,2023,"Glens Falls, NY",59040.0,125427.0,5.9,0.065,305.76250000000005,43.89166666666667,7953.0,14.2,4845.65
487909730.0,20.005640967198406,2023,"Grand Forks, ND-MN",62364.0,103120.0,4.4,0.0431,297.7975,40.59166666666667,9922.0,7.25,4845.65
95309419.0,18.372639198997632,2023,"Grand Junction, CO",57653.0,159681.0,3.1,0.044,415.7375,42.375,8507.0,13.65,4845.65
6306437923.0,22.564836841106835,2023,"Grand Rapids-Wyoming-Kentwood, MI",65239.0,1099142.0,118.8,0.06,332.865,50.94166666666667,6257.0,10.1,4845.65
41158796.0,17.532948216801604,2023,"Grants Pass, OR",55038.0,87821.0,3.0,0.076,388.5475,51.11666666666667,5809.0,14.2,4845.65
1987030831.0,21.40990731675203,2023,"Greeley, CO",62532.0,359442.0,13.4,0.044,407.5775,45.13333333333333,7689.0,13.65,4845.65
835055588.0,20.54300885305437,2023,"Green Bay, WI",63575.0,331882.0,32.0,0.079,286.905,47.849999999999994,7161.0,7.25,4845.65
2239417478.0,21.529481614529047,2023,"Greensboro-High Point, NC",56030.0,789842.0,48.5,0.025,271.32250000000005,60.116666666666674,4331.0,7.25,4845.65
15371002863.0,23.45574864044903,2023,"Greenville-Anderson-Greer, SC",55747.0,975480.0,61.4,0.05,347.40250000000003,62.008333333333326,4081.0,7.25,4845.65
1219486336.0,20.921695570965433,2023,"Greenville, NC",56956.0,175119.0,6.7,0.025,248.34250000000003,62.76666666666667,4061.0,7.25,4845.65
